countyfips,year,pdsi,spei,drought_vals,Water Level Depth
8001,2000,-1.6358333333333333,-0.11416666666666665,0.40384615384615385,24.75
8001,2001,-1.8499999999999999,0.08750000000000002,0.0,169.0
8001,2002,-4.810833333333333,-0.6433333333333334,3.150943396226415,73.78
8001,2003,-2.8975000000000004,-0.32166666666666666,1.8461538461538463,29.840000000000003
8001,2004,-0.8224999999999997,0.06583333333333337,2.3076923076923075,25.71290322580646
8001,2005,0.15916666666666662,-0.1758333333333333,0.6153846153846154,15.757500000000002
8001,2006,-2.3641666666666667,-0.3991666666666666,2.230769230769231,
8001,2007,-1.2358333333333331,-0.06583333333333331,0.9230769230769231,
8001,2008,-1.3383333333333332,-0.22833333333333328,1.169811320754717,
8001,2009,1.0775,0.2775,0.5192307692307693,18.73
8001,2010,2.430833333333333,-0.23916666666666667,0.6153846153846154,57.413529411764706
8001,2011,1.7316666666666665,0.018333333333333326,1.2115384615384615,30.89
8001,2012,-3.2258333333333336,-0.7608333333333334,2.3461538461538463,287.7
8001,2013,-1.6183333333333334,0.17166666666666666,2.2452830188679247,
8001,2014,3.8658333333333332,0.4941666666666666,0.0,
8001,2015,4.626666666666666,0.3908333333333333,0.1346153846153846,23.64
8001,2016,1.0258333333333336,-0.06749999999999996,0.7884615384615384,
8003,2000,-1.5400000000000003,-0.3924999999999999,0.4807692307692308,9.950000000000001
8003,2001,0.06750000000000007,-0.04833333333333336,0.34615384615384615,
8003,2002,-5.4799999999999995,-0.7025000000000001,3.792452830188679,8.12
8003,2003,-5.3691666666666675,-0.17583333333333329,4.0,12.2
8003,2004,-1.7016666666666669,0.015833333333333324,2.3846153846153846,12.447500000000002
8003,2005,-0.04500000000000006,-0.03750000000000001,0.8076923076923077,11.060961538461537
8003,2006,-0.5708333333333334,-0.03166666666666662,2.076923076923077,11.443000000000001
8003,2007,2.305,0.2591666666666667,0.5,13.72
8003,2008,-0.15583333333333338,0.016666666666666646,0.5849056603773585,0.0
8003,2009,-0.0016666666666666473,-0.17999999999999994,0.5,
8003,2010,-0.7983333333333333,-0.23166666666666666,0.5961538461538461,16.02
8003,2011,-3.183333333333333,-0.5316666666666667,3.4038461538461537,12.828333333333333
8003,2012,-4.628333333333333,-0.8325,2.9615384615384617,21.239473684210527
8003,2013,-2.2608333333333337,0.13999999999999999,2.660377358490566,
8003,2014,-0.5533333333333333,-0.36083333333333334,1.5,
8003,2015,-0.21583333333333332,0.0675,0.9038461538461539,16.905
8003,2016,-0.5700000000000001,-0.07250000000000001,0.34615384615384615,
8005,2000,-1.6358333333333333,-0.08416666666666663,0.40384615384615385,
8005,2001,-1.8499999999999999,0.048333333333333346,0.0,533.5
8005,2002,-4.810833333333333,-0.6583333333333333,3.169811320754717,
8005,2003,-2.8975000000000004,-0.255,2.2884615384615383,
8005,2004,-0.8224999999999997,0.13833333333333334,2.3076923076923075,19.42
8005,2005,0.15916666666666662,-0.13083333333333333,0.6346153846153846,
8005,2006,-2.3641666666666667,-0.2883333333333334,2.0961538461538463,
8005,2007,-1.2358333333333331,0.02416666666666667,0.3076923076923077,
8005,2008,-1.3383333333333332,-0.155,1.169811320754717,
8005,2009,1.0775,0.2891666666666666,0.5192307692307693,5.31
8005,2010,2.430833333333333,-0.2791666666666666,0.6153846153846154,1238.0
8005,2011,1.7316666666666665,0.03333333333333336,1.2307692307692308,90.07789473684211
8005,2012,-3.2258333333333336,-0.6750000000000002,2.326923076923077,1112.0
8005,2013,-1.6183333333333334,0.16666666666666666,2.4339622641509435,
8005,2014,3.8658333333333332,0.47083333333333327,0.23076923076923078,400.00666666666666
8005,2015,4.626666666666666,0.3825,0.09615384615384616,
8005,2016,1.0258333333333336,-0.09999999999999999,0.6730769230769231,942.8571428571429
8007,2000,-2.6166666666666667,-0.39916666666666684,0.8076923076923077,
8007,2001,-3.0566666666666666,-0.205,0.17307692307692307,
8007,2002,-6.114166666666667,-1.025,3.792452830188679,
8007,2003,-4.1066666666666665,-0.4233333333333334,3.75,
8007,2004,-1.7208333333333332,-0.11666666666666668,1.9038461538461537,
8007,2005,1.3916666666666666,-0.0024999999999999836,1.0,
8007,2006,0.21416666666666664,0.04250000000000001,1.8076923076923077,
8007,2007,0.0050000000000000044,0.05250000000000001,1.0576923076923077,
8007,2008,-0.08000000000000002,0.06583333333333334,0.39622641509433965,
8007,2009,-0.22416666666666663,-0.1425,0.75,
8007,2010,-0.05083333333333336,0.11333333333333334,0.8076923076923077,
8007,2011,0.575,-0.19333333333333325,1.6153846153846154,
8007,2012,-3.6199999999999997,-0.7316666666666668,2.423076923076923,
8007,2013,-2.485,-0.14583333333333334,2.7358490566037736,
8007,2014,1.0125,-0.48750000000000004,2.673076923076923,
8007,2015,0.6774999999999999,0.23749999999999996,1.7884615384615385,
8007,2016,-0.44416666666666665,-0.1683333333333333,0.7692307692307693,
8009,2000,-0.8133333333333334,-0.2966666666666667,0.7884615384615384,
8009,2001,-0.07416666666666664,0.10333333333333332,0.5,
8009,2002,-3.9324999999999997,-0.12249999999999998,3.641509433962264,
8009,2003,-3.26,-0.26999999999999996,3.0961538461538463,251.8
8009,2004,0.17083333333333314,0.24166666666666667,2.1346153846153846,
8009,2005,0.4491666666666667,-0.11750000000000003,0.5,
8009,2006,0.019999999999999907,-0.059166666666666666,2.326923076923077,
8009,2007,1.2,-0.26666666666666666,0.6923076923076923,
8009,2008,-0.19583333333333333,-0.17333333333333337,2.811320754716981,
8009,2009,-0.35166666666666685,0.05416666666666665,1.0,
